year,date,change_in_opr,new_opr_level
2021,2021-01-20,0.0,1.75
2021,2021-03-04,0.0,1.75
2021,2021-05-06,0.0,1.75
2021,2021-07-08,0.0,1.75
2021,2021-09-09,0.0,1.75
2021,2021-11-03,0.0,1.75
2022,2022-01-20,0.0,1.75
2022,2022-03-03,0.0,1.75
2022,2022-05-11,0.25,2.0
2022,2022-07-06,0.25,2.25
2022,2022-09-08,0.25,2.5
2022,2022-11-03,0.25,2.75
2023,2023-01-19,0.0,2.75
2023,2023-03-09,0.0,2.75
2023,2023-05-03,0.25,3.0
2023,2023-07-06,0.0,3.0
2023,2023-09-07,0.0,3.0
2023,2023-11-02,0.0,3.0
2024,2024-01-24,0.0,3.0
2024,2024-03-07,0.0,3.0
2024,2024-03-07,0.0,3.0
2024,2024-05-09,0.0,3.0
2024,2024-05-09,0.0,3.0
2024,2024-07-11,0.0,3.0
2024,2024-09-05,0.0,3.0
2024,2024-11-06,0.0,3.0
2025,2025-01-22,0.0,3.0
2025,2025-03-06,0.0,3.0
2025,2025-05-08,0.0,3.0
2025,2025-07-09,-0.25,2.75
2025,2025-09-04,0.0,2.75
2025,2025-11-06,0.0,2.75
2026,2026-01-22,0.0,2.75
2026,2026-03-05,0.0,2.75
